,MSR geothermal,GLP geothermal,DMA geothermal,MTQ geothermal,LCA geothermal,SKN geothermal,SVG geothermal,GRD geothermal,ATG wind,ATG solar pv,MSR wind,MSR solar pv,GLP wind,GLP solar pv,DMA wind,DMA solar pv,MTQ wind,MTQ solar pv,LCA wind,LCA solar pv,SKN wind,SKN solar pv,SVG wind,SVG solar pv,GRD wind,GRD solar pv,BRB wind,BRB solar pv
3145,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5352,0.0,0.542133334,0.0,0.5536,0.0,0.6056,0.0,0.6168,0.0,0.6448,0.0,0.5376,0.0,0.6576,0.0,0.6136,0.0,0.6736,0.0
3146,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5312,0.0,0.5336,0.0,0.5448,0.0,0.6048,0.0,0.612,0.0,0.6352,0.0,0.5248,0.0,0.6464,0.0,0.6336,0.0,0.664,0.0
3147,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5312,0.0,0.529333334,0.0,0.5424,0.0,0.6024,0.0,0.6056,0.0,0.6264,0.0,0.5144,0.0,0.6328,0.0,0.644,0.0,0.6496,0.0
3148,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5296,0.0,0.526133334,0.0,0.5424,0.0,0.5992,0.0,0.6,0.0,0.6168,0.0,0.5064,0.0,0.6216,0.0,0.6464,0.0,0.636,0.0
3149,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5152,0.0,0.512,0.0,0.5312,0.0,0.5896,0.0,0.5928,0.0,0.6072,0.0,0.4896,0.0,0.612,0.0,0.6584,0.0,0.6264,0.0
3150,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4904,0.0528,0.488,0.0488,0.5072,0.0544,0.5712,0.0528,0.5816,0.0528,0.5984,0.0512,0.4664,0.0464,0.6024,0.048,0.6728,0.0456,0.6176,0.06
3151,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4624,0.1968,0.464533334,0.1912,0.4832,0.1984,0.5576,0.1944,0.5752,0.1936,0.5952,0.1888,0.448,0.1856,0.604,0.1856,0.6776,0.1832,0.6136,0.2008
3152,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4408,0.3424,0.449333334,0.3352,0.468,0.3416,0.5496,0.34,0.572,0.3344,0.5968,0.328,0.4392,0.332,0.6144,0.3272,0.6712,0.3224,0.612,0.3408
3153,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4272,0.4592,0.438933334,0.4528,0.4584,0.4552,0.5424,0.456,0.5672,0.44,0.6008,0.4408,0.4312,0.4488,0.624,0.4368,0.6568,0.4392,0.6152,0.4488
3154,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.42,0.54,0.4288,0.5344,0.4504,0.532,0.5352,0.532,0.56,0.5216,0.6008,0.5176,0.416,0.5312,0.6272,0.508,0.6432,0.5168,0.6176,0.5256
3155,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4216,0.5832,0.426933334,0.5768,0.46,0.572,0.5416,0.5696,0.5632,0.56,0.6016,0.5624,0.3992,0.576,0.6232,0.5568,0.6392,0.5528,0.616,0.5608
3156,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4272,0.5864,0.4312,0.5816,0.4792,0.5752,0.5568,0.5728,0.5712,0.568,0.5984,0.5648,0.3872,0.5848,0.6072,0.5656,0.6336,0.5624,0.6096,0.5584
3157,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4288,0.5536,0.4304,0.5488,0.4888,0.5456,0.5656,0.5424,0.5768,0.5352,0.5912,0.5328,0.3736,0.5544,0.5824,0.5328,0.6272,0.536,0.596,0.5056
3158,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4328,0.4816,0.4336,0.48,0.4928,0.4736,0.5712,0.472,0.5808,0.464,0.5848,0.4568,0.3752,0.4848,0.5592,0.4584,0.6216,0.464,0.5832,0.4288
3159,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4504,0.3736,0.450133334,0.3728,0.5016,0.3656,0.5752,0.3616,0.584,0.3504,0.5832,0.3424,0.3984,0.3784,0.5464,0.3392,0.6304,0.3568,0.5816,0.3192
3160,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.48,0.232,0.478666666,0.2336,0.5152,0.2216,0.5808,0.2184,0.588,0.2112,0.5896,0.2008,0.4408,0.24,0.5504,0.2016,0.6416,0.2184,0.592,0.184
3161,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.504,0.0792,0.503466666,0.0824,0.5184,0.0744,0.576,0.0712,0.5864,0.0648,0.5968,0.0632,0.488,0.0888,0.5648,0.0632,0.6432,0.0728,0.6064,0.0496
3162,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5168,0.0016,0.518933334,0.0024,0.516,0.0008,0.564,0.0008,0.5768,0.0,0.6,0.0,0.524,0.0032,0.5832,0.0,0.6336,0.0,0.6208,0.0
3163,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.536,0.0,0.535733334,0.0,0.5208,0.0,0.5584,0.0,0.5728,0.0,0.6048,0.0,0.5504,0.0,0.5992,0.0,0.6136,0.0,0.6336,0.0
3164,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.556,0.0,0.552533334,0.0,0.5344,0.0,0.5656,0.0,0.5784,0.0,0.6088,0.0,0.5672,0.0,0.6104,0.0,0.588,0.0,0.648,0.0
3165,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5624,0.0,0.560533334,0.0,0.5464,0.0,0.5736,0.0,0.5912,0.0,0.6168,0.0,0.5728,0.0,0.6216,0.0,0.5608,0.0,0.6616,0.0
3166,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5576,0.0,0.556533334,0.0,0.5464,0.0,0.5712,0.0,0.6,0.0,0.632,0.0,0.5656,0.0,0.6408,0.0,0.5376,0.0,0.6704,0.0
3167,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5464,0.0,0.547466666,0.0,0.5504,0.0,0.5776,0.0,0.6104,0.0,0.6472,0.0,0.5456,0.0,0.6568,0.0,0.5288,0.0,0.672,0.0
3168,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5368,0.0,0.538133334,0.0,0.5592,0.0,0.5912,0.0,0.6192,0.0,0.6544,0.0,0.5184,0.0,0.6616,0.0,0.54,0.0,0.6656,0.0
3169,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5208,0.0,0.522666666,0.0,0.5608,0.0,0.6,0.0,0.6224,0.0,0.652,0.0,0.4864,0.0,0.66,0.0,0.5592,0.0,0.6576,0.0
3170,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5064,0.0,0.513333334,0.0,0.5712,0.0,0.6144,0.0,0.6272,0.0,0.6504,0.0,0.4624,0.0,0.6656,0.0,0.5792,0.0,0.6488,0.0
3171,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5048,0.0,0.512,0.0,0.5792,0.0,0.6288,0.0,0.6344,0.0,0.6528,0.0,0.452,0.0,0.672,0.0,0.6008,0.0,0.6448,0.0
3172,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.512,0.0,0.5136,0.0,0.5792,0.0,0.632,0.0,0.6352,0.0,0.6528,0.0,0.4496,0.0,0.6744,0.0,0.6168,0.0,0.648,0.0
3173,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5152,0.0,0.514133334,0.0,0.5712,0.0,0.6248,0.0,0.624,0.0,0.6432,0.0,0.456,0.0,0.6624,0.0,0.6264,0.0,0.6504,0.0
3174,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5192,0.0536,0.5176,0.0496,0.5616,0.0536,0.6128,0.052,0.616,0.0512,0.636,0.0504,0.472,0.0472,0.6488,0.048,0.6296,0.0408,0.6488,0.06
3175,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5232,0.1944,0.5216,0.1888,0.5568,0.196,0.6104,0.1912,0.6224,0.1856,0.6408,0.1888,0.4848,0.1864,0.6464,0.1832,0.6312,0.1592,0.6488,0.2016
3176,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5248,0.3312,0.525866666,0.3304,0.5568,0.336,0.6176,0.3304,0.6328,0.3272,0.6472,0.3336,0.496,0.3296,0.6464,0.3272,0.6344,0.3088,0.6488,0.3408
3177,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5288,0.4504,0.5328,0.4448,0.5624,0.4424,0.6256,0.444,0.6392,0.4336,0.6504,0.4456,0.5072,0.4448,0.6456,0.4424,0.6344,0.4264,0.6456,0.4464
3178,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.54,0.5256,0.544266666,0.5216,0.5744,0.5256,0.6336,0.5192,0.636,0.5184,0.644,0.5112,0.5184,0.524,0.6376,0.4984,0.6456,0.5072,0.6344,0.5056
3179,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5472,0.5624,0.547733334,0.5616,0.58,0.564,0.6312,0.5632,0.6232,0.5616,0.6224,0.5392,0.516,0.5672,0.6144,0.5248,0.6624,0.5528,0.616,0.5456
3180,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5424,0.5648,0.537866666,0.5632,0.5704,0.5632,0.6168,0.5624,0.6024,0.5592,0.5936,0.5552,0.5008,0.5736,0.576,0.552,0.6688,0.5568,0.5904,0.536
3181,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5336,0.5304,0.524533334,0.5296,0.5504,0.528,0.5984,0.5264,0.5848,0.5256,0.572,0.5192,0.4896,0.5408,0.5384,0.5192,0.6576,0.528,0.5584,0.504
3182,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5296,0.4592,0.520533334,0.46,0.5392,0.456,0.5856,0.4584,0.5768,0.4504,0.5632,0.4384,0.4928,0.4696,0.524,0.4456,0.64,0.46,0.5416,0.4272
3183,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.536,0.3552,0.526933334,0.356,0.5416,0.3496,0.5808,0.3544,0.5776,0.3416,0.5704,0.3176,0.5032,0.3656,0.5336,0.324,0.6336,0.3536,0.5456,0.3176
3184,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.548,0.2208,0.537866666,0.224,0.552,0.2144,0.5824,0.216,0.5832,0.2048,0.5824,0.1896,0.5136,0.232,0.5552,0.196,0.632,0.2176,0.5632,0.1792
3185,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.556,0.0792,0.548,0.0816,0.5616,0.0728,0.5864,0.0712,0.5936,0.0656,0.6008,0.0608,0.5264,0.0872,0.5792,0.0624,0.6384,0.072,0.5832,0.048
3186,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.56,0.0024,0.553333334,0.0024,0.5616,0.0016,0.5888,0.0008,0.604,0.0,0.6224,0.0,0.5384,0.0032,0.6032,0.0,0.6312,0.0,0.608,0.0
3187,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.568,0.0,0.562133334,0.0,0.5656,0.0,0.6,0.0,0.6176,0.0,0.6456,0.0,0.5528,0.0,0.6272,0.0,0.6056,0.0,0.64,0.0
3188,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.572,0.0,0.570133334,0.0,0.5704,0.0,0.6136,0.0,0.6352,0.0,0.6712,0.0,0.568,0.0,0.6536,0.0,0.568,0.0,0.672,0.0
3189,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5752,0.0,0.5776,0.0,0.5776,0.0,0.6272,0.0,0.652,0.0,0.6904,0.0,0.58,0.0,0.6784,0.0,0.536,0.0,0.6976,0.0
3190,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5776,0.0,0.583466666,0.0,0.5872,0.0,0.6344,0.0,0.6624,0.0,0.7032,0.0,0.5856,0.0,0.6976,0.0,0.5312,0.0,0.712,0.0
