,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,MSR wind,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA wind,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB diesel,BRB solar pv,BRB wind,SVG solar pv,SVG wind,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
6888,-0.0,12.259804903875848,-0.0,-0.0,43.62,-0.0,1.35,-0.0,0.8232790725159875,-0.0,-0.0,71.96037201130589,-0.0,-0.0,6.6,5.546897546897548,0.4531024531024519,182.7,-0.0,-0.0,-0.0,41.96538472924551,-0.0,-0.0,75.50891949152545,-0.0,65.1,-0.0,14.489987591396106,-0.0,-0.0,-0.0,1.7781459043823653,5.39251103440788
6889,-0.0,12.173468249623202,-0.0,-0.0,42.08,-0.0,-0.0,-0.0,0.8110564767234196,-0.0,-0.0,71.41021626198399,-0.0,-0.0,6.508369408369407,5.591630591630593,-0.0,176.2,-0.0,-0.0,-0.0,45.12297435693146,-0.0,-0.0,-0.0,-0.0,67.35000000000001,-0.0,15.550230585888505,-0.0,-0.0,-0.0,2.0321667478655603,10.12324998741307
6890,-0.0,12.713072338702244,-0.0,-0.0,41.22,-0.0,1.35,-0.0,0.8302634120334809,12.560158047747791,-0.0,72.73059006035658,-0.0,-0.0,6.1010101010101,5.6989898989899,-0.0,171.2,-0.0,-0.0,-0.0,44.4,-0.0,-0.0,40.95,-0.0,71.85,-0.0,16.29632750793871,-0.0,-0.0,-0.0,2.9847449109275415,10.12324998741307
6891,-0.0,13.813864680423492,-0.0,-0.0,41.24,-0.0,-0.0,-0.0,0.8682407605334351,-0.0,-0.0,74.71115075791545,-0.0,-0.0,6.0683982683982665,5.9316017316017335,-0.0,169.7,-0.0,-0.0,-0.0,43.8,-0.0,-0.0,33.650000000000006,-0.0,77.55,-0.0,16.767546616601997,-0.0,-0.0,-0.0,4.381859550085115,10.12324998741307
6892,-0.0,14.914657022144738,19.497472866691965,-0.0,41.34,-0.0,1.35,-0.0,0.90840071570554,-0.0,-0.0,77.35189835466062,-0.0,-0.0,5.973160173160172,6.226839826839828,-0.0,173.7,-0.0,-0.0,-0.0,44.6,-0.0,-0.0,30.44999999999999,-0.0,83.85000000000001,-0.0,17.435107020541658,-0.0,-0.0,-0.0,6.16000545446748,10.12324998741307
6893,-0.0,15.475845274786943,-0.0,-0.0,45.79,-0.0,-0.0,-0.0,0.9241154806020728,15.0,-0.0,78.78230330289757,-0.0,-0.0,6.6,6.450505050505052,0.14949494949494735,189.2,-0.0,-0.0,-0.0,49.8,-0.0,-0.0,62.98668280871672,-0.0,88.94999999999999,-0.0,18.25974046070241,-0.0,-0.0,-0.0,8.001656569720643,10.12324998741307
6894,0.7375692151036667,15.454261111223781,-0.0,-0.0,45.575948249973294,0.46405175002670873,-0.0,0.05350992946471985,0.9062181090333892,-0.0,-0.0,77.13183605493185,16.969573359357042,-0.0,6.6,6.450505050505052,0.14949494949494735,189.23060271179713,2.169397288202875,-0.0,-0.0,47.25976398387262,2.0402360161273836,-0.0,-0.0,9.213317191283293,91.35,0.7628947024636328,18.637105297536365,-0.0,-0.0,0.818183629077261,10.351349371940197,10.12324998741307
6895,11.801107441658667,14.720399550076284,-0.0,-0.0,45.9513789996795,5.568621000320505,0.3874797092870019,0.6956290830413581,0.8568912076716401,-0.0,-0.0,50.87103019550622,183.02896980449378,-0.0,6.6,6.235786435786437,2.0642135642135635,193.65513843156,20.74486156843999,-0.0,-0.0,37.551222300193956,18.248777699806045,-0.0,-0.0,58.11476997578693,84.38523002421307,7.272929496819965,13.927070503180033,-0.0,-0.0,8.386382198041925,13.145578650255342,9.568039151702735
6896,27.395427989564762,13.55485471766555,-0.0,-0.0,44.31617305698761,12.243826943012392,-0.0,1.5517879544768758,0.7931591064642999,-0.0,-0.0,26.93562548680074,233.96437451319923,-0.0,6.6,5.922655122655124,3.877344877344875,189.7020849985114,47.99791500148861,-0.0,-0.0,45.295481917934076,16.00451808206592,-0.0,-0.0,116.93825665859565,38.76174334140434,15.793470099811529,7.806529900188472,-0.0,-0.0,19.227315283315633,15.572684716684364,-0.0
6897,41.40924307653443,12.195052413186362,-0.0,-0.0,42.57021122976663,17.419788770233374,-0.0,2.27173973272947,0.7246252697924894,-0.0,-0.0,46.35318212524217,228.84681787475782,-0.0,6.6,5.564790764790766,5.435209235209236,176.97430215879245,71.72569784120755,-0.0,-0.0,41.75063225987549,23.349367740124503,-0.0,-0.0,84.20593220338992,83.55000000000001,16.752104367212542,7.947895632787458,-0.0,-0.0,27.796735092886077,8.103264907113921,-0.0
