,SKN solar pv,SKN wind,SKN geothermal,ATG wind,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA wind,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG wind,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
5347,-0.0,20.470839290108984,-0.0,38.05,-0.0,1.5,-0.0,-0.0,-0.0,178.65055880944323,-0.0,-0.0,6.6,9.6,151.0,-0.0,-0.0,-0.0,74.8,-0.0,-0.0,-0.0,56.25,-0.0,-0.0,41.356,-0.0,-0.0,35.30717369313564,-0.0
5348,-0.0,20.961932656917153,-0.0,38.6,-0.0,1.5,-0.0,-0.0,-0.0,176.20329088054675,-0.0,-0.0,6.6,9.200000000000001,159.4,-0.0,-0.0,-0.0,77.9,-0.0,-0.0,-0.0,57.75,-0.0,-0.0,40.856,-0.0,-0.0,34.80717369313564,-0.0
5349,-0.0,21.19455583066839,-0.0,39.25,-0.0,1.5,-0.0,-0.0,-0.0,177.91637843077427,-0.0,-0.0,6.6,8.8,162.4,-0.0,-0.0,-0.0,74.91191992232342,-0.0,-0.0,-0.0,58.875,-0.0,-0.0,39.956,-0.0,-0.0,33.40717369313564,-0.0
5350,-0.0,21.19455583066839,-0.0,40.2,-0.0,1.5,-0.0,-0.0,-0.0,182.5661874956776,-0.0,-0.0,6.6,8.8,159.4,-0.0,-0.0,-0.0,75.61191992232342,-0.0,-0.0,-0.0,59.325,-0.0,-0.0,39.956,-0.0,-0.0,33.60717369313564,-0.0
5351,-0.0,21.142861792057,-0.0,40.9,-0.0,1.5,-0.0,-0.0,-0.0,190.39744486814635,-0.0,-0.0,6.6,8.0,159.0,-0.0,-0.0,-0.0,71.51191992232343,-0.0,-0.0,-0.0,59.175000000000004,-0.0,-0.0,38.956,-0.0,-0.0,31.707173693135644,-0.0
5352,-0.0,21.246249869279776,-0.0,41.25,-0.0,1.5,-0.0,-0.0,-0.0,197.24979506905652,-0.0,-0.0,6.6,7.200000000000001,160.60000000000002,-0.0,-0.0,-0.0,68.91191992232342,-0.0,-0.0,-0.0,58.425000000000004,-0.0,-0.0,37.956,-0.0,-0.0,30.507173693135645,-0.0
5353,-0.0,21.142861792057,-0.0,41.4,-0.0,1.5,-0.0,-0.0,-0.0,199.20760941217367,-0.0,-0.0,6.6,6.5,160.20000000000002,-0.0,-0.0,-0.0,67.41191992232342,-0.0,-0.0,-0.0,57.075,-0.0,-0.0,37.056,-0.0,-0.0,29.107173693135643,-0.0
5354,-0.0,20.987779676222846,-0.0,41.0,-0.0,1.5,-0.0,-0.0,-0.0,197.49452186194617,-0.0,-0.0,6.6,5.9,159.4,-0.0,-0.0,-0.0,65.41191992232342,-0.0,-0.0,-0.0,55.199999999999996,-0.0,-0.0,36.356,-0.0,-0.0,28.407173693135643,-0.0
5355,-0.0,20.93608563761146,-0.0,40.45,-0.0,1.5,-0.0,-0.0,-0.0,194.5578003472704,-0.0,-0.0,6.6,5.800000000000001,157.8,-0.0,-0.0,-0.0,64.81191992232343,-0.0,-0.0,-0.0,53.625,-0.0,-0.0,35.956,-0.0,-0.0,27.907173693135643,-0.0
5356,-0.0,20.806850541082994,-0.0,39.5,-0.0,1.5,-0.0,-0.0,-0.0,190.39744486814635,-0.0,-0.0,6.6,5.700000000000001,156.0,-0.0,-0.0,-0.0,63.711919922323425,-0.0,-0.0,-0.0,52.875,-0.0,-0.0,36.156,-0.0,-0.0,27.707173693135644,-0.0
5357,-0.0,20.44499227080329,-0.0,37.6,-0.0,1.5,-0.0,-0.0,-0.0,177.67165163788462,-0.0,-0.0,6.6,5.6,150.2,-0.0,-0.0,-0.0,63.91191992232343,-0.0,-0.0,-0.0,52.12499999999999,-0.0,-0.0,35.856,-0.0,-0.0,27.207173693135644,-0.0
