,SKN solar pv,SKN wind,SKN geothermal,ATG solar pv,MSR geothermal,MSR solar pv,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ wind,MTQ solar pv,MTQ biomass,MTQ geothermal,LCA solar pv,LCA geothermal,BRB solar pv,BRB wind,BRB biomass,SVG solar pv,SVG geothermal,SVG hydro,GRD solar pv,GRD wind,GRD geothermal
4491,-0.0,1.793,53.987727142857146,-0.0,1.9492728571428566,-0.0,15.0,180.0,18.4756,-0.0,-0.0,8.0,9.0,10.907,-0.0,-0.0,106.86992293812294,-0.0,36.0,-0.0,69.99451234282715,-0.0,-0.0,18.0,8.0,-0.0,12.556914766849701,24.0
4492,-0.0,1.7974,53.80332714285714,-0.0,1.9592728571428566,-0.0,15.0,180.0,18.541900000000002,-0.0,-0.0,8.0,9.0,10.725,-0.0,-0.0,132.33703214301593,-0.0,54.0,-0.0,68.80239169465248,-0.0,-0.0,25.743750267089602,8.0,-0.0,12.794799485030886,27.681171273249795
4493,-0.0,1.7952000000000001,53.93552714285714,-0.0,2.009272857142857,-0.0,15.0,180.0,18.2767,-0.0,-0.0,8.0,9.0,10.413,-0.0,-0.0,135.0,-0.0,54.0,-0.0,67.78057399621706,-0.0,-0.0,27.0,8.0,-0.0,12.845774781783996,26.873946243586296
4494,0.0765,1.7776000000000003,55.099872857142856,9.935953664922856,1.4235271428571434,0.0125,15.0,165.54871553858038,17.9894,18.035930796496753,-0.0,8.0,9.0,10.296000000000001,16.180811566296182,-0.0,126.76392051736478,0.342,54.0,28.79791716375695,67.01421072239047,-0.0,0.0972,18.0,8.0,1.2980993730825703,12.709840657109034,24.0
4495,0.2955,1.7424000000000002,39.45957523809529,37.052827208774815,1.4235271428571434,0.049,15.0,120.0,17.945200000000003,62.97291091658188,-0.0,8.0,9.0,10.387,59.838472962151926,-0.0,90.0,1.23,36.0,91.446017660351,66.84390777265124,-0.0,0.3456,18.0,8.0,4.517385818327344,12.454964173343479,24.0
4496,0.5475,1.7182000000000002,39.45957523809529,74.9336505562932,1.4235271428571434,0.09075,15.0,120.0,18.0115,104.54725987121847,-0.0,8.0,9.0,10.712,109.29680265535912,-0.0,90.0,2.19,36.0,160.66206417674928,66.84390777265124,-0.0,0.5688,18.0,8.0,7.606862326263861,12.217079455162294,24.0
4497,0.7605,1.7226000000000001,39.45957523809529,105.77650672449124,1.4235271428571434,0.126,15.0,120.0,17.901000000000003,143.3703651450335,-0.0,8.0,9.0,10.946,155.09155237129173,-0.0,90.0,2.9459999999999997,36.0,225.83629775788344,65.48148417473732,-0.0,0.7218000000000001,18.0,8.0,10.229023059890654,12.030170033734219,24.0
4498,0.8999999999999999,1.7270000000000003,39.45957523809529,125.02741695027927,1.4235271428571434,0.15025,15.0,120.0,17.680000000000003,171.1884956955624,-0.0,8.0,9.0,10.946,186.53728050956542,-0.0,90.0,3.4259999999999997,36.0,270.2962400457889,63.1823943532576,-0.0,0.8406,18.0,8.0,11.916552244897995,11.962202971396737,24.0
4499,0.9645,1.7116000000000002,39.45957523809529,133.72137640708678,1.4235271428571434,0.16325,15.0,120.0,17.370600000000003,192.8927513998212,-0.0,8.0,9.0,10.673,202.41279374442206,-0.0,90.0,3.6719999999999997,36.0,296.06279750809773,60.1169412579513,-0.0,0.9720000000000001,18.0,8.0,12.020400194744601,11.928219440227997,24.0
4500,0.9705,1.6830000000000003,39.45957523809529,135.37736868457392,1.4347271428571435,0.166,15.0,120.0,17.1717,202.06356366922634,-0.0,8.0,9.0,10.309000000000001,199.35981043002656,-0.0,90.0,3.678,36.0,297.07325074191374,57.221791112384246,-0.0,1.1106,18.0,8.0,12.305982056822765,12.047161799318589,24.0
4501,0.9255,1.6720000000000002,39.45957523809529,128.54640053993944,1.4235271428571434,0.157,15.0,120.0,16.9507,192.5870576575077,-0.0,8.0,9.0,9.958,182.2631038694117,-0.0,90.0,3.588,36.0,266.7596537274328,54.4117924416868,-0.0,1.116,18.0,8.0,11.83866628251304,12.386997111005996,24.0
4502,0.8190000000000001,1.6676000000000002,39.45957523809529,113.84946907724107,1.4235271428571434,0.138,15.0,120.0,16.8623,166.60308956085984,-0.0,8.0,9.0,9.75,150.81737573113801,-0.0,90.0,3.138,36.0,215.7317654197231,52.70876294429441,-0.0,0.9504,18.0,8.0,10.047289147659093,12.96471714087459,24.0
