,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Guadeloupe Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen,SaintKittsNevis Hydrogen,Montserrat Hydrogen
36,0.0,0.0,1.4210854715202004e-14,0.0,-2.842170943040401e-14,-3.552713678800501e-15,-1.4210854715202004e-14,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3.552713678800501e-15,-1.4210854715202004e-14,7.815970093361102e-14,0.0,-1.4210854715202004e-14,-1.0658141036401503e-14,-1.4210854715202004e-14,0.0,-7.105427357601002e-15,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-3.552713678800501e-15,0.0,2.842170943040401e-14,2.220446049250313e-16,-1.4210854715202004e-14,3.552713678800501e-15,1.4210854715202004e-14,-3.108624468950438e-14,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-3.552713678800501e-15,0.0,0.0,-1.6653345369377348e-16,0.0,0.0,1.4210854715202004e-14,1.0658141036401503e-14,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8.881784197001252e-16,1.5987211554602254e-14,0.0,5.551115123125783e-17,-7.105427357601002e-15,-3.552713678800501e-15,0.0,1.7763568394002505e-15,-8.881784197001252e-16,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8.881784197001252e-16,0.0,0.0,-1.6653345369377348e-16,-1.4210854715202004e-14,1.0658141036401503e-14,-1.4210854715202004e-14,2.6645352591003757e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0
42,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,-1.4210854715202004e-14,-7.105427357601002e-15,0.0,-8.881784197001252e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8.881784197001252e-16,0.0,0.0,-1.6653345369377348e-16,-1.4210854715202004e-14,-3.552713678800501e-15,0.0,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,-1.4210854715202004e-14,1.0658141036401503e-14,0.0,8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,3.552713678800501e-15,0.0,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,3.552713678800501e-15,0.0,8.881784197001252e-16,2.6645352591003757e-15,0.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,8.881784197001252e-16,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,7.105427357601002e-15,8.881784197001252e-16,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,8.881784197001252e-16,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,3.552713678800501e-15,1.4210854715202004e-14,8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0
52,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,-7.105427357601002e-15,8.881784197001252e-16,2.6645352591003757e-15,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0
53,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8.881784197001252e-16,8.171241461241152e-14,0.0,5.551115123125783e-17,1.4210854715202004e-14,-3.552713678800501e-15,0.0,1.7763568394002505e-15,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8.881784197001252e-16,0.0,0.0,5.551115123125783e-17,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,1.7763568394002505e-15,-7.216449660063518e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-8.881784197001252e-16,1.7763568394002505e-15,1.4210854715202004e-14,1.6653345369377348e-16,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,8.881784197001252e-16,7.993605777301127e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,8.881784197001252e-16,3.552713678800501e-15,0.0,-1.6653345369377348e-16,0.0,0.0,1.4210854715202004e-14,-1.7763568394002505e-15,-1.1546319456101628e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4.440892098500626e-15,3.552713678800501e-15,-2.842170943040401e-14,5.551115123125783e-17,0.0,7.105427357601002e-15,1.4210854715202004e-14,1.7763568394002505e-15,-5.329070518200751e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,7.105427357601002e-15,-1.0658141036401503e-14,5.684341886080802e-14,-1.942890293094024e-16,2.842170943040401e-14,7.105427357601002e-15,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,7.105427357601002e-15,3.552713678800501e-15,0.0,0.0,0.0,-7.105427357601002e-15,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,8.881784197001252e-16,3.552713678800501e-15,0.0,2.7755575615628914e-16,0.0,0.0,2.842170943040401e-14,-7.549516567451064e-15,-4.440892098500626e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
