,SKN load,ATG load,GLP load,MSR load,DMA load,MTQ load,LCA load,BRB load,SVG load,GRD load
1207,31.71,51.21,228.9,1.91,14.9,211.0,54.3,140.7,21.1,30.6
1208,32.5,53.04,239.6,2.0,15.4,219.8,57.8,145.4,22.3,31.7
1209,33.92,54.16,243.9,2.0,15.5,223.6,57.4,146.8,22.7,32.6
1210,34.01,54.74,250.0,2.07,16.1,228.1,60.2,150.1,22.8,33.1
1211,35.23,55.52,254.2,2.08,16.2,234.1,61.0,156.0,23.3,34.1
1212,35.84,57.45,260.7,2.16,16.7,237.4,61.5,154.4,23.6,34.5
1213,35.44,57.33,256.6,2.11,16.5,236.0,61.9,153.5,23.5,34.5
1214,34.6,55.12,252.6,2.03,15.9,228.8,58.6,148.9,23.0,32.8
1215,33.14,53.44,247.1,2.0,15.5,223.6,59.0,148.0,22.5,32.0
1216,32.3,51.52,237.5,1.95,15.2,215.9,56.2,142.9,21.4,31.2
1217,31.4,50.53,235.6,1.91,14.7,212.4,55.2,141.1,21.0,30.8
1218,34.99,57.06,256.5,2.12,16.3,234.3,60.3,155.3,23.2,34.0
1219,35.97,58.62,265.3,2.18,17.1,243.0,63.0,160.0,24.2,35.0
1220,34.21,54.6,249.7,2.04,16.2,228.6,59.7,152.4,22.7,32.8
1221,31.98,51.16,232.5,1.9,14.8,210.3,53.9,138.1,21.3,30.4
1222,29.85,47.54,219.5,1.8,13.6,197.1,50.9,129.2,19.8,28.2
1223,27.1,43.15,195.8,1.64,12.5,180.1,47.3,120.1,17.8,25.8
1224,24.8,39.45,179.8,1.49,11.4,163.9,43.2,108.5,16.2,23.8
1225,23.15,37.86,170.3,1.4,11.1,156.3,41.1,102.3,15.5,22.5
1226,22.74,36.94,165.6,1.37,10.8,152.4,39.9,100.6,15.1,22.0
1227,22.55,36.53,168.1,1.38,10.5,151.6,40.0,98.6,15.1,22.0
1228,23.43,37.14,169.6,1.41,10.8,155.5,40.1,103.2,15.6,22.2
1229,26.56,42.38,192.3,1.55,12.4,174.7,44.9,113.7,17.7,25.5
1230,28.72,46.32,214.1,1.71,13.5,192.1,49.4,125.2,19.5,27.8
1231,31.16,50.65,227.8,1.87,14.5,208.1,53.4,136.6,21.0,30.3
1232,33.09,53.87,246.7,2.02,15.7,223.1,57.2,146.9,22.6,32.2
1233,33.96,54.87,252.7,2.08,15.9,229.4,58.9,150.3,23.0,33.4
1234,34.68,54.33,254.4,2.05,16.2,229.6,60.3,149.5,23.1,33.8
1235,35.23,56.62,253.2,2.08,16.5,232.9,60.8,152.2,23.1,34.0
1236,35.0,55.88,254.9,2.13,16.4,234.9,60.7,157.0,23.8,33.7
1237,34.23,54.38,254.4,2.02,16.1,228.3,59.3,149.2,22.7,33.2
1238,33.3,53.52,243.6,1.98,15.6,221.3,58.1,147.0,22.2,32.4
1239,32.25,51.32,236.6,1.93,14.8,214.0,55.0,142.4,21.6,31.4
1240,31.16,50.23,230.5,1.85,14.6,207.5,54.7,137.9,21.0,30.5
1241,31.0,50.05,229.1,1.87,14.5,207.5,53.6,136.9,21.0,29.7
1242,34.47,54.79,250.9,2.08,16.0,229.7,58.9,149.9,23.2,32.9
1243,36.25,58.01,264.1,2.15,16.8,239.0,61.8,157.9,23.7,34.8
1244,33.72,54.44,244.9,2.03,15.6,224.9,58.5,150.0,22.7,32.4
