,SKN diesel,SKN solar pv,SKN wind,SKN geothermal,ATG diesel,ATG wind,ATG solar pv,MSR diesel,MSR geothermal,MSR solar pv,GLP diesel,GLP hydro,GLP geothermal,GLP wind,GLP solar pv,GLP biomass,DMA hydro,DMA geothermal,MTQ diesel,MTQ wind,MTQ solar pv,MTQ biomass,LCA diesel,LCA wind,LCA solar pv,BRB diesel,BRB solar pv,BRB wind,SVG diesel,SVG solar pv,SVG wind,SVG hydro,GRD diesel,GRD solar pv,GRD wind
51,14.638904281810508,-0.0,5.409587380303346,10.0,-0.0,14.2,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,76.36060850372839,-0.0,3.7,6.6,5.200000000000001,-0.0,63.6,-0.0,41.4,-0.0,30.640743329180516,-0.0,-0.0,-0.0,40.050000000000004,-0.0,-0.0,8.389847028451012,8.0,-0.0,-0.0,23.9
52,-0.0,-0.0,6.457517919943262,10.0,-0.0,16.650000000000002,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,88.44646020935446,-0.0,3.7,6.6,5.300000000000001,-0.0,63.2,-0.0,-0.0,32.523117988257134,29.49281922751093,-0.0,-0.0,-0.0,39.300000000000004,-0.0,-0.0,7.804508863675361,8.0,-0.0,-0.0,24.7
53,-0.0,-0.0,6.995644413271867,10.0,-0.0,18.6,-0.0,-0.0,1.5,-0.0,-0.0,15.0,14.7,93.66535071860208,-0.0,3.7,6.6,5.9,-0.0,60.0,-0.0,41.4,-0.0,27.726782148019257,-0.0,-0.0,-0.0,36.975,-0.0,-0.0,7.072836157705796,8.0,-0.0,-0.0,25.7
54,-0.0,-0.0,7.448803565548587,10.0,-0.0,19.7,0.15420485175202162,-0.0,1.5,-0.0,109.98383669407575,15.0,14.7,97.23617054071887,0.9322445397168942,3.7,6.6,6.6,-0.0,59.4,3.2917075083317,41.4,-0.0,27.37357473212092,0.8940418686867331,-0.0,11.577287988062656,35.25,-0.0,0.23360092129223892,6.78016707531797,8.0,-0.0,-0.0,26.8
55,-0.0,5.418755535083162,8.326799423084733,10.0,12.70110512129379,21.3,15.728894878706205,-0.0,1.5,0.23583428542196003,-0.0,15.0,14.7,108.77266535063468,49.87508287485384,3.7,6.6,7.700000000000001,-0.0,63.800000000000004,87.77886688884533,41.4,7.147763375258762,29.139611811612596,17.612624813128644,-0.0,122.6140046008454,34.800000000000004,-0.0,4.765458794361673,7.243559789098694,8.0,-0.0,9.885026567997974,20.014973432002023
56,-0.0,17.264407169916122,9.034860598517108,10.0,-0.0,23.150000000000002,41.172695417789775,-0.0,1.5,0.6998952986716234,135.35542382043027,15.0,14.7,124.97869377408783,114.19995611531954,3.7,6.6,9.200000000000001,-0.0,76.0,194.2107429915703,-0.0,-0.0,33.113195240468855,35.13584543938861,-0.0,225.23087540412803,35.1,-0.0,9.530917588723346,8.170345216660143,4.49873719461651,-0.0,6.119867477074109,26.480132522925892
57,-0.0,30.685278437040694,9.289762621672763,10.0,-0.0,24.45,66.92490566037739,-0.0,1.5,1.2096016574868271,-0.0,15.0,14.7,136.2405101361485,190.17788610224642,3.7,6.6,9.500000000000002,-0.0,88.2,290.2188786512449,41.4,-0.0,37.35168423124887,48.9040902171643,-0.0,298.904526237254,35.4,-0.0,13.058291500236155,9.17029791481855,8.0,-0.0,29.02074644829352,4.079253551706483
58,-0.0,39.9475698749154,8.921570810447928,8.423406712589639,-0.0,24.3,86.9715363881402,-0.0,1.366254199137152,1.5696927169483146,22.239651349408177,15.0,14.7,135.96583168829335,245.1803139455432,3.7,6.6,9.799999999999999,-0.0,87.0066653597334,348.9209958831602,-0.0,-0.0,37.32545953415247,57.21867959595092,-0.0,342.5824763740359,2.2330203929370214,-0.0,15.347580528900096,9.731246989395217,-0.0,-0.0,34.3,-0.0
59,-0.0,44.484202415915256,8.751636128344158,4.566708853693548,-0.0,23.65,90.8703234501348,-0.0,1.2139596371263404,1.731987278959126,-0.0,15.0,14.10323024501065,134.04308255330739,280.1394841849267,-0.0,6.6,10.200000000000001,-0.0,64.12715153891395,376.90050970397965,-0.0,-0.0,42.38488990780014,52.05924922230326,-0.0,347.4154967669729,-0.0,-0.0,16.46886495110284,10.072694252181012,-0.0,-0.0,37.267078772398776,7.825495332224218
60,-0.0,44.67322877179025,8.751636128344158,4.497682497818559,-0.0,13.263530997304557,101.46679245283023,-0.0,1.1735294067493138,1.7624175093361527,-0.0,-0.0,-0.0,128.08387617808512,312.30192080515957,-0.0,6.6,10.500000000000002,-0.0,60.5409723583611,382.3866888845325,-0.0,-0.0,44.15092698729181,51.19321214281159,-0.0,313.9404967669729,35.475,-0.0,16.53894522749051,10.511697875762751,6.241477996811579,-0.0,37.531384295607275,18.473307277330157
