,SaintKittsNevis,Antigua,Guadeloupe,Montserrat,Martinique,SaintLucia,Barbados,SaintVincentGrenadines,Grenada,Antigua Hydrogen,Barbados Hydrogen,Guadeloupe Hydrogen,Martinique Hydrogen,SaintLucia Hydrogen,SaintVincentGrenadines Hydrogen,Grenada Hydrogen,Montserrat Hydrogen
41,0.0,-3.552713678800501e-15,1.2789769243681803e-13,-2.220446049250313e-16,-1.4210854715202004e-14,-3.552713678800501e-15,0.0,-1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,7.105427357601002e-15,-2.842170943040401e-14,-2.220446049250313e-16,-2.842170943040401e-14,-3.552713678800501e-15,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,1.4210854715202004e-14,0.0,-2.842170943040401e-14,3.552713678800501e-15,0.0,-3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-8.881784197001252e-16,7.105427357601002e-15,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-1.7763568394002505e-15,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,-8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,1.5987211554602254e-13,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.7763568394002505e-15,0.0,2.842170943040401e-14,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.4432899320127035e-15,-8.881784197001252e-16,1.4210854715202004e-14,0.0,0.0,3.552713678800501e-15,-7.105427357601002e-15,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,1.4210854715202004e-14,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,1.7763568394002505e-15,0.0,2.220446049250313e-16,0.0,1.7763568394002505e-15,7.105427357601002e-15,1.7763568394002505e-15,1.7763568394002505e-15,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-5.329070518200751e-15,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0
