,ATG Electrolyzer,ATG Fuel Cell,BRB Electrolyzer,BRB Fuel Cell,GLP Electrolyzer,GLP Fuel Cell,MTQ Electrolyzer,MTQ Fuel Cell,LCA Electrolyzer,LCA Fuel Cell,SVG Electrolyzer,SVG Fuel Cell,GRD Electrolyzer,GRD Fuel Cell,SKN Electrolyzer,SKN Fuel Cell,MSR Electrolyzer,MSR Fuel Cell
67,0.0,0.0,0.0,-56.51151701192445,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,-12.767313736827742,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,-13.00259686478552,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,-56.51151701192445,0.0,0.0,0.0,-64.97399708941923,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,-56.51151701192445,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,-98.82720875029234,0.0,-64.97399708941923,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,-25.441558995553976,0.0,-64.97399708941923,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
74,-1.206896551724138,-0.7241379310344828,0.0,0.0,0.0,0.0,0.0,-59.36807878548818,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
75,-2.317241379310347,-1.390344827586208,0.0,0.0,0.0,0.0,0.0,-59.38146923347194,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
76,-3.2224137931034504,-1.93344827586207,0.0,0.0,0.0,0.0,0.0,-61.05134072550838,0.0,-1.4684859853997239,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,-42.78776910967093,0.0,-1.8094776713579221,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.97399708941923,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
79,-20.35338567036625,-12.21203140221975,-17.422916616369736,-10.45374996982184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
80,-52.08205122775349,-31.249230736652095,-105.26429807074551,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
81,-57.91872347389705,-32.218341919134794,-83.10742530233598,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
82,-57.91872347389705,-32.218341919134794,-109.37896518603921,-56.51151701192445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
83,-57.91872347389705,-32.218341919134794,-8.852075654022121,-14.427107492112336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
84,-57.91872347389705,-32.218341919134794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
85,-56.138002149391674,-32.218341919134794,-43.65074511103333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,-1.6584534518472231,0.0,0.0,0.0,0.0,0.0
86,-44.655801692925316,-32.218341919134794,-116.92704343583245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3987960614870456,0.0,0.0,0.0,0.0,0.0,0.0
